Name,IP Address,Data Classification,Type / User,Purpose,DNS Name,PowerStatus_CVI_25
ilas3irun24.100.193,192.168.100.193,Cutomer Confidential Internal,,Vendor Dev,ILAS3IRUN24.infowerks.com,Not Found
ilas3db05.100.200,192.168.100.200,Cutomer Confidential Internal,,Production MSSQL,ilas3db05.infowerks.com,Not Found
ilas4sql01.100.28,192.168.100.28,Cutomer Confidential Internal,,,,Powered Off
ilas3irun08.100.38,192.168.100.38,Cutomer Confidential Internal,Barry,Image Dev,ILAS3IRUN08.infowerks.com,Powered On
ilas1qa03.100.39,192.168.100.39,Cutomer Confidential Internal,,Kelly,ILAS1QA03.infowerks.com,Powered On
ilas3irun01.100.40,192.168.100.40,Cutomer Confidential Internal,Stepen,Development,ILAS3IRUN01.infowerks.com,Powered Off
ilas3irun02.100.41,192.168.100.41,Cutomer Confidential Internal,Andy,Development,ILAS3IRUN02.infowerks.com,Powered On
ilas3irun03.100.42,192.168.100.42,Cutomer Confidential Internal,Andy,Development,ILAS3IRUN03.infowerks.com,Not Found
ilas2wks27.100.54,192.168.100.54,Cutomer Confidential Internal,PM,Lisa P,ILAS2WKS27.infowerks.com,Powered On
ilas3irun09.100.58,192.168.100.58,Cutomer Confidential Internal,,Development,ilas3irun09.infowerks.com,Powered On
ilas3irun10.100.59,192.168.100.59,Cutomer Confidential Internal,,Jon,ILAS3IRUN10.infowerks.com,Not Found
ilas3wks42.100.61,192.168.100.61,Cutomer Confidential Internal,,,,Not Found
ilas2img07.100.63,192.168.100.63,Cutomer Confidential Internal,,,ILAS2IMG07.infowerks.com,Powered On
ilas1syn01.100.65,192.168.100.65,Cutomer Confidential Internal,Images,Vendor Dev,ILAS1SYN01.infowerks.com,Powered On
ilas3irun17.100.69,192.168.100.69,Cutomer Confidential Internal,?,,ILAS3IRUN17.infowerks.com,Not Found
ilas3wks26 100.73,192.168.100.73,Cutomer Confidential Internal,,,ILAS3WKS26.infowerks.com,Powered On
ilas3irun16.100.74,192.168.100.74,Cutomer Confidential Internal,,Development,ILAS3IRUN16.infowerks.com,Not Found
ilas3db01 100.75,192.168.100.75,Cutomer Confidential Internal,,,ILAS3DB01.infowerks.com,Powered On
ilas3irun12.100.89,192.168.100.89,Cutomer Confidential Internal,,Development,ILAS3IRUN12.infowerks.com,Powered Off
ilas3irun14.100.91,192.168.100.91,Cutomer Confidential Internal,,Development,ILAS3IRUN14.infowerks.com,Powered On
ilas3db04.100.99,192.168.100.99,Cutomer Confidential Internal,,Production MSSQL,ilas3db04.infowerks.com,Powered On
openmanage_enterprise,192.168.101.101,Cutomer Confidential Internal,,,localhost.localdomain,Not Found
ILAS2DB11_NEWACME,192.168.101.102,Cutomer Confidential Internal,,,ilas2db11.infowerks.com,Not Found
ilas1sql05.SQL2012_2,192.168.101.103,Cutomer Confidential Internal,,,ilas1sql05.infowerks.com,Powered On
ilas1dc01.101.111,192.168.101.111,Customer Confidential External,,Domain Controller,ilas1dc01.infowerks.com,Not Found
Cage DC2,192.168.101.112,Customer Confidential External,,Domain Controller,icage0dc02.infowerks.com,Not Found
ilas1pg02.101.118,192.168.101.118,Cutomer Confidential Internal,,,,Not Found
ilas2pg02.101.118,192.168.101.118,Cutomer Confidential Internal,,,,Not Found
ilas3wks70.101.121,192.168.101.121,Cutomer Confidential Internal,,Production iRun,ilas3wks70.infowerks.com,Powered On
iRundata122,192.168.101.122,Cutomer Confidential Internal,QA,Deb,ILAS1DRN12.infowerks.com,Not Found
ilas3wks71.101.123,192.168.101.123,Cutomer Confidential Internal,,Production iRun,ilas3wks71.infowerks.com,Powered On
ilas3wks72.101.124,192.168.101.124,Cutomer Confidential Internal,,Production iRun,ilas3wks72.infowerks.com,Powered On
ilas3wks73.101.125,192.168.101.125,Cutomer Confidential Internal,,Production iRun,ilas3wks73.infowerks.com,Powered On
ilas3wks74.101.126,192.168.101.126,Cutomer Confidential Internal,,Production iRun,ilas3wks74.infowerks.com,Powered On
ilas3wks75.101.127,192.168.101.127,Cutomer Confidential Internal,,Production iRun,ilas3wks75.infowerks.com,Powered On
ilas1dc03.DomainController,192.168.101.14,Customer Confidential External,IT,Domain Controller,ILAS1DC03.infowerks.com,Not Found
ilas1wks08.Teamvwr,192.168.101.140,Cutomer Confidential Internal,,,ILAS1WKS08.infowerks.com,Powered On
ilas1wks09.teamvwr2,192.168.101.141,Cutomer Confidential Internal,Mike,Production iRun,ILAS1WKS09.infowerks.com,Powered On
ilas2as02.CVSAPP101.43,192.168.101.143,Customer Confidential External,ViewMaster,CVS VM App,ilas2as02,Not Found
ilas2db02.CVSDB_101.144,192.168.101.144,Customer Confidential External,ViewMaster,CVS VM DB,ilas2db02,Not Found
ilas1pg03.101.146,192.168.101.146,Customer Confidential External,,,ilas1pg03,Powered On
ilas1pg15.101.149,192.168.101.149,Cutomer Confidential Internal,,,ilas1pg15,Powered On
ilas1fs02.101.15,192.168.101.15,Customer Confidential External,,Current,ilas1fs02.infowerks.com,Powered On
ilas3irun15.100.92,192.168.101.152,Cutomer Confidential Internal,,Development,ILAS3IRUN15.infowerks.com,Not Found
ilas3wks46.101.154,192.168.101.154,Customer Confidential External,,iAggregate/automation,ilas3wks46.infowerks.com,Powered On
ilas0db44Cedar.101.56,192.168.101.156,Customer Confidential External,ViewMaster,Cedars VM DB,ilas0db44,Not Found
ils0is02Cedar.101.57,192.168.101.157,Customer Confidential External,ViewMaster,Cedars VM App,ilas0is02,Not Found
ilas0fs10.101.16,192.168.101.16,Cutomer Confidential Internal,,,ilas0fs10.infowerks.com,Not Found
ilas3vmapp40.101.160,192.168.101.160,Customer Confidential External,ViewMaster,Walmart1 VM App,ilas3vmapp40,Powered On
ilas3walmrtVM.101.165,192.168.101.165,Customer Confidential External,ViewMaster,Spartan/WM2 VM App,ilas33walvm3,Powered On
ilas3walmtVM02.101.166,192.168.101.166,Customer Confidential External,ViewMaster,Walmart3 VM App,ilaswlmtvm02,Powered On
ilas1arch01.101.168,192.168.101.168,Customer Confidential External,ViewMaster,Archive VM DB,ilas1arch01,Not Found
iSQL1,192.168.101.175,Cutomer Confidential Internal,,,iSQL1.infowerks.com,Powered On
ilas2wks20.basil,192.168.101.176,Cutomer Confidential Internal,,,ilas2wks20.infowerks.com,Powered On
ILAS3DB142,192.168.101.180,Cutomer Confidential Internal,Images,Production Images,,Not Found
ILAS3DB161 ,192.168.101.181,Cutomer Confidential Internal,Images,Production Images,,Not Found
ilas3irun04.100.43,192.168.101.183,Cutomer Confidential Internal,Images,Dan,ILAS3IRUN04.infowerks.com,Powered On
ILAS3DB140 ,192.168.101.184,Cutomer Confidential Internal,Images,Production Images,,Not Found
ILAS3DB154,192.168.101.186,Cutomer Confidential Internal,Images,Production Images,,Not Found
ilas1linux03.101.57,192.168.101.189,Cutomer Confidential Internal,,,ilaslinux03,Powered On
ilas1sql10,192.168.101.190,Cutomer Confidential Internal,,,ilas1sql10.infowerks.com,Powered On
ILAS2PG01,192.168.101.191,Cutomer Confidential Internal,Images,Dev Images,,Not Found
